# dotfiles-Offense/install/offensive-packages.txt
# ──────────────────────────────────────────────────────────────────────────────
# The offensive tool layer for Kali (apt). The Core modern-CLI stack lives in
# the normal install/packages.txt; THIS file is the role layer on top of it.
# bootstrap.sh installs these AFTER the OS + Core layers.
#
# Most are in Kali's repos (`sudo apt install <pkg>`). The handful that aren't
# packaged (or move faster than the repo) are flagged → install via their own
# upstream method, same pattern Core already uses for starship/atuin on some
# distros.
#
# ⚠ Authorized engagements only. Installing ≠ permission to use.
# ──────────────────────────────────────────────────────────────────────────────

# ── Network / Active Directory ────────────────────────────────────────────────
netexec              # nxc — successor to CrackMapExec (CME archived 2023)
nmap
rustscan             # fast port sweep that hands off to nmap -sC -sV — hacktheplanet's
#                    # `rustscan -a <ip> --ulimit 5000 -- -sC -sV`.
#                    # APT AGAIN, and the standing re-check instruction this line used to carry is
#                    # what fired: rustscan 2.4.1-0kali1 MIGRATED to kali-rolling 2026-08-31, so
#                    # the `→ UPSTREAM (cargo install rustscan)` pointer that was here is retired.
#                    # ⚠ THE VERSION GAP THAT NOTE ASSERTED NEVER EXISTED. It said "upstream is
#                    # 4.7.4", which was WRONG rather than merely stale — three independent primary
#                    # sources put head at 2.4.1 (2025-02-23): the GitHub releases tag, crates.io's
#                    # max_version, and `version` in master's Cargo.toml. So apt is not three majors
#                    # behind; it is AT upstream head, and the objection to restoring this line
#                    # dissolved rather than being outweighed. Recorded because an invented version
#                    # number is the one error class this file cannot absorb: every other note here
#                    # is only as trustworthy as the sourcing habit that catches this one.
#                    # The older correction still stands and is why a line is needed at all: it is
#                    # NOT in kali-linux-default — kali-linux-EVERYTHING is the only metapackage
#                    # whose Depends names it, the evilginx2 criterion, so a normal box has no
#                    # rustscan without this line.
#                    # ⚠ SUITE DRIFT, expected and harmless: this and katana below migrated on
#                    # 2026-08-31, so a box tracking `kali-last-snapshot` rather than kali-rolling
#                    # cannot see either name until the next snapshot is cut, and bootstrap's
#                    # apt_install will print "skipped (unavailable on this box?)" for them.
#                    # test/check-packages.sh calls this out as the fourth of its four cases; the
#                    # authoritative run is .github/workflows/packages.yml, in a kali-rolling
#                    # container. Do NOT "fix" a red local run by removing these lines.
responder
mitm6                # IPv6/DNS takeover: spoofs DHCPv6, becomes the segment's DNS, coerces Windows to auth over WPAD/HTTP. The relay TRIGGER that still fires when LLMNR/NBT-NS poisoning is off but IPv6 is on by default (it is). ⚠ it rewrites DNS for the WHOLE segment while it runs — loud, disruptive, and an ROE conversation before you reach for it
#                    # NOTE: upstream FROZEN (last commit Feb 2022; Kali has shipped 0.3.0 since May 2024).
#                    # Unlike kerbrute and havoc below, this one carried no freeze note — an omission, not a
#                    # judgement. Keep it: the technique is a Windows DEFAULT, not a bug, so it still fires.
#                    # Frozen because it is finished, not abandoned.
#                    # NO DROP-IN SUCCESSOR — but the near-miss has a NAME, so the flat "there is no
#                    # maintained successor to move to" this note used to carry was too strong.
#                    # RedTeamPentesting's `pretender` (Go, v1.4.1 Jul 2026, SRV spoofing added in v1.4.0) is
#                    # actively maintained, does DHCPv6/DNS takeover — mitm6's exact technique — plus
#                    # mDNS/LLMNR/NBT-NS, and is built to feed ntlmrelayx/krbrelayx. It is a SPOOFER ONLY
#                    # though: no listener, no credential capture, no relay. So it replaces neither mitm6 nor
#                    # responder — it is a third front-end onto the same relay chain, not a swap for either
#                    # half of it. Named here for the CORRECTION, and deliberately given no `→ UPSTREAM`
#                    # pointer of its own: no doc and no corpus entry invokes it, and this file lists what
#                    # the docs and the corpus name. Add the pointer if and when one of them does.
#                    # WHAT THE COERCION YIELDS IS TARGET-VERSION DEPENDENT, which is a separate axis from
#                    # whether it FIRES. On fully-patched Server 2025 / Win11 24H2, SMB signing is required by
#                    # default and LDAP channel binding ships Enabled-When-Supported (MSRC, Dec 2024). The
#                    # trigger still fires; it is the SMB and plain-LDAP relay legs that close behind it. Value
#                    # shifts toward krbrelayx and the AD CS / PKINIT path — both already listed below.
coercer              # NTLM coercion trigger (PetitPotam/PrinterBug/DFSCoerce/ShadowCoerce) — the piece that KICKS the relay/ESC8 chain (responder/ntlmrelayx have no trigger of their own)
krbrelayx            # dirkjanm's Kerberos-relay toolkit (printerbug/krbrelayx/addspn/dnstool) — now apt-packaged, so printerbug is no longer a git-clone. The Kerberos-relay COMPLEMENT to coercer's trigger + ntlmrelayx's NTLM relay, not a dup
impacket-scripts     # ~60 scripts: secretsdump, psexec, ntlmrelayx, GetUserSPNs…
evil-winrm           # ⚠ CURRENCY, track-don't-act: kali is 3.9-0kali2 while upstream cut v4.1 on
#                    # 2026-09-03 (there is no v4.0 release — the tags jump 3.9 → 4.1). Recorded
#                    # rather than acted on: v4.1 renames no flags and breaks no invocation, so
#                    # nothing in hacktheplanet's WinRM fold goes stale, and a major-looking bump
#                    # that changes no interface is not a reason to leave apt.
#                    # TWO of its fixes are felt mid-op if you hit them — a keepalive so Windows
#                    # stops dropping idle shells, and a path-traversal fix in `download`. Neither
#                    # is a reason to hand-build; both are a reason to expect the apt build to drop
#                    # an idle shell, which reads as a network problem and isn't one.
certipy-ad           # AD CS abuse (ESC1–ESC17: ESC13/15/16 landed in v5.0, ESC17 in v5.1.0)
python3-ldapdomaindump  # apt name is python3-ldapdomaindump (bare 'ldapdomaindump' isn't packaged),
#                    # but the BINARY is bare `ldapdomaindump` — which is also the name bootstrap's
#                    # non-Kali pipx route installs under. Field-reference line: hacktheplanet, AD fold
enum4linux-ng
smbmap
ldap-utils           # `ldapsearch` — raw directory queries. The corpus' ldap-recon entry runs it
#                    # directly, and it is the fallback whenever nxc's ldap module hides the attribute
#                    # you actually need. Surfaced by test/check-corpus-commands.sh (#208)
bloodyad             # raw-LDAP shadow-creds / DACL / RBCD / attribute writes (+ autobloody to auto-exploit a BloodHound-graphed path)
#                    # IT ALSO SHIPS BadSuccessor, which is not obvious from the README (that never
#                    # mentions dMSA) — it is in the wiki: `add badSuccessor <dmsa>`, plus
#                    # `msldap badsuccessor_check` and `msldap dmsas` to find where it applies. So
#                    # the dMSA privilege-escalation path is ALREADY on the box with nothing to
#                    # install; apt tracks this one closely.
#                    # ⚠ WHAT IT YIELDS IS TARGET-STATE DEPENDENT — the same axis the mitm6 note
#                    # above draws, and for the same reason. Microsoft PATCHED BadSuccessor on
#                    # 2025-08-12 (Server 2025 DCs from build 26100.4946), so the KDC now validates
#                    # the superseded-account link in both directions at ticket issuance. Against a
#                    # patched DC the original technique does not complete. The post-patch variant
#                    # (AlteredSecurity's BetterSuccessor) needs create-dMSA rights AND GenericWrite
#                    # on the target, and is driven by SharpSuccessor + Rubeus — NEITHER of which
#                    # this layer ships, and neither is added here: no doc and no corpus entry names
#                    # them. Check the DC build before you plan around this one.
gpp-decrypt          # decrypt the GPP cpassword blob from SYSVOL Groups.xml (the decrypt step of the GPP attack); ships in kali-linux-default, list it for slim installs
