# install/corpus-commands.lst — classification for every command the RED CORPUS invokes
# that install/offensive-packages.txt cannot account for on its own.
#
# WHY A SEPARATE FILE. `blib_read_pkgs` (the parser bootstrap.sh feeds apt) strips
# everything from the first `#`, so the manifest's careful `# name → UPSTREAM (...)`
# annotations and its whole "Target-dropped enumeration" block are invisible to any
# machine check. Those annotations are prose with a gutter — one name can wrap across
# three lines — and a grammar tight enough to parse them would force reflowing the very
# reasoning that makes the manifest worth reading. So the manifest stays sovereign for apt
# names (the checker consults it directly) and this file carries ONLY what the manifest
# structurally cannot express: a binary whose package has a different name, a tool that is
# deliberately not on the operator's box, or a command assumed present everywhere.
#
# NOT install/tools.lst. That file is the PROBE list, and its own header sets the rule:
# a tool the cheatsheets merely mention does not belong, because "a report that cries wolf
# gets ignored". Dumping 44 corpus tokens there would make the host-tool report warn about
# Windows built-ins on every boot.
#
# FORMAT:  <command>   <class>   # why — the prose is REQUIRED and the gate enforces it
#
# CLASSES:
#   pkg:<name>  the binary is shipped by an apt package under a different name. The gate
#               asserts <name> is really in install/offensive-packages.txt, so this cannot
#               launder a package that was never added.
#   upstream    must be on the OPERATOR's box but is not in apt. The gate asserts the
#               manifest mentions it somewhere, so deleting its UPSTREAM annotation reddens
#               CI rather than silently orphaning the tool.
#   elsewhere   deliberately NOT on the operator's box: a Windows built-in run on the
#               target, a binary dropped on the target, or a path an earlier line of the
#               same entry created.
#   base        assumed present on any Linux host. Deliberately small and closed.
#   repl:<tool> an interactive prompt token, not a shell command; re-resolve <tool>.
#
# The gate also fails on a line here that NO red entry uses any more — an excuse that has
# outlived its command is rot, and a companion-sync that drops an entry should surface it.

# ── binary ≠ package name ─────────────────────────────────────────────────────
nxc                pkg:netexec            # NetExec's binary kept the short name; the package took the project's
aws                pkg:awscli             # Kali ships AWS CLI v2 as `awscli`; the binary is bare `aws`
az                 pkg:azure-cli          # the Entra/Azure CLI: package azure-cli, binary `az`
docker             pkg:docker.io          # Debian names the engine package docker.io; the binary is `docker`
dnscat             pkg:dnscat2            # dnscat2's client binary is bare `dnscat`; one package ships it AND the server
printerbug         pkg:krbrelayx          # krbrelayx's MS-RPRN trigger; apt drops the .py (see the manifest note)
ligolo-agent       pkg:ligolo-ng          # the target half of ligolo-ng; ligolo-proxy is the attacker half
unshadow           pkg:john               # john-the-ripper ships it; it is not a package of its own
ldapsearch         pkg:ldap-utils         # the raw-LDAP recon client, from ldap-utils rather than a named package

# ── operator-side, not in apt (the manifest must document the install path) ───
gcloud             upstream               # google-cloud-cli comes from Google's own apt repo, not Debian/Kali
gh                 upstream               # dropped from kali-rolling; GitHub's apt repo or the release binary
vault              upstream               # BUSL-licensed, so HashiCorp's repo rather than Debian/Kali
kerbrute           upstream               # frozen at v1.0.3 (2019); release binary or `go install`
evilginx           pkg:evilginx2          # AitM proxy; apt ships the evilginx2 package (3.3.0+ds1-0kali1 = upstream v3.3.0). The corpus emits only the `evilginx>` console prompt (chained via the repl line below), never a bare shell `evilginx`.
Get-AADIntAccessTokenForMSGraph  upstream  # AADInternals cmdlet, operator-side from Windows (manifest, AADInternals)
roadtx             upstream               # ROADtools' token half; pipx-installed by bootstrap on every route
tfc-agent          upstream               # Terraform Cloud agent, run on infrastructure YOU control

# ── interactive prompts, kept verbatim because that is what the operator sees ──
evilginx>          repl:evilginx          # evilginx2's console prompt, not a shell command

# ── not on the operator's box, by design ──────────────────────────────────────
whoami             elsewhere              # Windows whoami — the `/priv` flag is the tell, not coreutils
schtasks           elsewhere              # Windows task scheduler, run on the target
sc                 elsewhere              # Windows service controller, run on the target
ntdsutil           elsewhere              # Windows DC built-in for the IFM ntds.dit dump
powershell         elsewhere              # the Get-ADUser line runs on a domain-joined Windows host
Register-MaliciousWmiEvent  elsewhere     # a cmdlet from the entry's own local PoC module, not a binary
SharpHound.exe     elsewhere              # the C# collector, dropped on the target (manifest, BloodHound block)
PrintSpoofer64.exe elsewhere              # release binary dropped on the target (manifest, Target-dropped block)
GodPotato          elsewhere              # release binary dropped on the target; match the target's .NET build
icmpsh             elsewhere              # the corpus line is the victim side; manifest documents the clone
./run.sh           elsewhere              # ships inside the actions/runner tarball the same entry unpacks
./config.sh        elsewhere              # same tarball; registers the runner before ./run.sh starts it
/tmp/.x            elsewhere              # the payload the SAME entry's preceding curl wrote to that path

# ── assumed present on any Linux host ─────────────────────────────────────────
curl               base                   # kali-system-core; 28 corpus lines are pure REST against a SaaS API
python3            base                   # kali-system-core; `valid-accounts-cloud` runs MSOLSpray.py under it
cat                base                   # coreutils; the corpus uses it to read a dropped key or token file
cp                 base                   # coreutils; stages a binary before the SUID/capability abuse lines
chmod              base                   # coreutils; sets +x on a payload the same entry just fetched
echo               base                   # shell builtin/coreutils; appends the authorized_keys persistence line
mkdir              base                   # coreutils; creates the drop directory the next line writes into
find               base                   # findutils; the SUID/capability sweep in the Linux privesc entries
grep               base                   # filters that sweep's output; assumed on any host worth attacking
mount              base                   # util-linux; the cifs backend is cifs-utils, already in the manifest
crontab            base                   # cron; the persistence entries write a crontab, they do not install one
systemctl          base                   # systemd; enables the unit the persistence entry just wrote
sudo               base                   # `sudo -l` enumerates the grant, so sudo IS the command on that line
vim                base                   # a GTFOBins escape: the point is a binary sudo already permits
/usr/bin/find      base                   # the SUID line names the ABSOLUTE path deliberately — the setuid binary
#                                         # at that path is the subject, not whatever $PATH resolves
